id,person,date,salary,raise_type
711,123,01/05/2017,"R$ 1.654,32",raise
1287,249,01/05/2017,"R$ 1.654,32",raise
1257,243,01/05/2017,"R$ 1.637,51",raise
1543,309,01/05/2017,"R$ 1.598,38",raise
1493,296,01/05/2017,"R$ 1.449,69",raise
1333,262,01/05/2017,"R$ 1.297,48",raise
1286,249,01/04/2017,"R$ 1.582,14",raise
1492,296,27/03/2017,"R$ 1.386,44",initial
1302,256,21/03/2017,"R$ 2.083,37",initial
1339,263,20/03/2017,"R$ 2.231,76",initial
1359,265,01/03/2017,"R$ 5.059,42",raise
1536,308,01/03/2017,"R$ 4.026,37",raise
467,91,01/03/2017,"R$ 3.578,99",raise
657,118,01/03/2017,"R$ 3.329,29",raise
1471,291,01/03/2017,"R$ 3.263,95",raise
1373,267,21/02/2017,"R$ 5.008,82",initial
1419,276,06/02/2017,"R$ 2.156,29",initial
710,123,06/02/2017,"R$ 1.582,14",initial
1542,309,01/02/2017,"R$ 1.528,63",initial
697,122,10/01/2017,"R$ 2.901,28",initial
414,81,01/01/2017,"R$ 2.083,37",raise
1285,249,01/01/2017,"R$ 1.528,63",raise
1284,249,03/10/2016,"R$ 1.378,73",initial
1446,282,05/09/2016,"R$ 2.901,28",initial
1332,262,22/06/2016,"R$ 1.240,87",raise
1331,262,21/06/2016,"R$ 1.129,81",initial
656,118,01/06/2016,"R$ 2.901,28",raise
571,108,02/05/2016,"R$ 4.208,21",raise
1402,272,02/05/2016,"R$ 3.216,71",raise
1310,257,02/05/2016,"R$ 1.637,51",raise
632,116,01/05/2016,"R$ 11.654,89",raise
1525,306,01/05/2016,"R$ 11.426,14",raise
1439,278,01/05/2016,"R$ 5.553,36",raise
1325,259,01/05/2016,"R$ 5.059,41",raise
1358,265,01/05/2016,"R$ 4.723,01",raise
1594,322,01/05/2016,"R$ 4.723,01",raise
781,138,01/05/2016,"R$ 4.167,29",raise
1535,308,01/05/2016,"R$ 3.890,21",raise
570,108,01/05/2016,"R$ 3.831,57",raise
1414,274,01/05/2016,"R$ 3.704,25",raise
1418,275,01/05/2016,"R$ 3.704,25",raise
1236,240,01/05/2016,"R$ 3.578,99",raise
1470,291,01/05/2016,"R$ 3.153,57",raise
466,91,01/05/2016,"R$ 3.107,92",raise
507,97,01/05/2016,"R$ 3.107,92",raise
1479,293,01/05/2016,"R$ 3.107,92",raise
1587,319,01/05/2016,"R$ 3.002,83",raise
673,119,01/05/2016,"R$ 3.002,82",raise
1372,266,01/05/2016,"R$ 3.002,82",raise
1401,272,01/05/2016,"R$ 2.928,81",raise
655,118,01/05/2016,"R$ 2.012,92",raise
